Train on 22522 samples, validate on 5716 samples
 3008/22522 [===>..........................] - ETA: 55s - loss: 0.6826
 3072/22522 [===>..........................] - ETA: 55s - loss: 0.6780
 3136/22522 [===>..........................] - ETA: 55s - loss: 0.6764
 3200/22522 [===>..........................] - ETA: 54s - loss: 0.6737
 3264/22522 [===>..........................] - ETA: 54s - loss: 0.6687
 3328/22522 [===>..........................] - ETA: 54s - loss: 0.6648
 3392/22522 [===>..........................] - ETA: 54s - loss: 0.6622
 3456/22522 [===>..........................] - ETA: 53s - loss: 0.6612
 3520/22522 [===>..........................] - ETA: 53s - loss: 0.6570
 3584/22522 [===>..........................] - ETA: 53s - loss: 0.6570
 3648/22522 [===>..........................] - ETA: 53s - loss: 0.6565
 3712/22522 [===>..........................] - ETA: 52s - loss: 0.6555
 3776/22522 [====>.........................] - ETA: 52s - loss: 0.6526
 3840/22522 [====>.........................] - ETA: 52s - loss: 0.6497
 3904/22522 [====>.........................] - ETA: 52s - loss: 0.6468
 3968/22522 [====>.........................] - ETA: 51s - loss: 0.6476
 4032/22522 [====>.........................] - ETA: 51s - loss: 0.6422
 4096/22522 [====>.........................] - ETA: 51s - loss: 0.6413
 4160/22522 [====>.........................] - ETA: 51s - loss: 0.6396
 4224/22522 [====>.........................] - ETA: 50s - loss: 0.6383
 4288/22522 [====>.........................] - ETA: 50s - loss: 0.6402
 4352/22522 [====>.........................] - ETA: 50s - loss: 0.6387
 4416/22522 [====>.........................] - ETA: 50s - loss: 0.6386
 4480/22522 [====>.........................] - ETA: 50s - loss: 0.6375
 4544/22522 [=====>........................] - ETA: 49s - loss: 0.6341
 4608/22522 [=====>........................] - ETA: 49s - loss: 0.6347
 4672/22522 [=====>........................] - ETA: 49s - loss: 0.6370
 4736/22522 [=====>........................] - ETA: 49s - loss: 0.6353
 4800/22522 [=====>........................] - ETA: 49s - loss: 0.6322
 4864/22522 [=====>........................] - ETA: 49s - loss: 0.6300
 4928/22522 [=====>........................] - ETA: 49s - loss: 0.6290
 4992/22522 [=====>........................] - ETA: 48s - loss: 0.6274
 5056/22522 [=====>........................] - ETA: 48s - loss: 0.6249
 5120/22522 [=====>........................] - ETA: 48s - loss: 0.6219
 5184/22522 [=====>........................] - ETA: 48s - loss: 0.6212
 5248/22522 [=====>........................] - ETA: 48s - loss: 0.6176
 5312/22522 [======>.......................] - ETA: 48s - loss: 0.6157
 5376/22522 [======>.......................] - ETA: 48s - loss: 0.6155
 5440/22522 [======>.......................] - ETA: 47s - loss: 0.6142
 5504/22522 [======>.......................] - ETA: 47s - loss: 0.6129
 5568/22522 [======>.......................] - ETA: 47s - loss: 0.6102
 5632/22522 [======>.......................] - ETA: 47s - loss: 0.6104
 5696/22522 [======>.......................] - ETA: 47s - loss: 0.6106
 5760/22522 [======>.......................] - ETA: 47s - loss: 0.6083
 5824/22522 [======>.......................] - ETA: 46s - loss: 0.6098
 5888/22522 [======>.......................] - ETA: 46s - loss: 0.6098
 5952/22522 [======>.......................] - ETA: 46s - loss: 0.6063
 6016/22522 [=======>......................] - ETA: 46s - loss: 0.6045
 6080/22522 [=======>......................] - ETA: 46s - loss: 0.6030
 6144/22522 [=======>......................] - ETA: 45s - loss: 0.6022
 6208/22522 [=======>......................] - ETA: 45s - loss: 0.6036
 6272/22522 [=======>......................] - ETA: 45s - loss: 0.6021
 6336/22522 [=======>......................] - ETA: 45s - loss: 0.6020
 6400/22522 [=======>......................] - ETA: 45s - loss: 0.6018
 6464/22522 [=======>......................] - ETA: 44s - loss: 0.6002
 6528/22522 [=======>......................] - ETA: 44s - loss: 0.5993
 6592/22522 [=======>......................] - ETA: 44s - loss: 0.6001
 6656/22522 [=======>......................] - ETA: 44s - loss: 0.5981
 6720/22522 [=======>......................] - ETA: 43s - loss: 0.5973
 6784/22522 [========>.....................] - ETA: 43s - loss: 0.5964
 6848/22522 [========>.....................] - ETA: 43s - loss: 0.5945
 6912/22522 [========>.....................] - ETA: 43s - loss: 0.5918
 6976/22522 [========>.....................] - ETA: 43s - loss: 0.5909
 7040/22522 [========>.....................] - ETA: 43s - loss: 0.5906
 7104/22522 [========>.....................] - ETA: 43s - loss: 0.5896
 7168/22522 [========>.....................] - ETA: 42s - loss: 0.5883
 7232/22522 [========>.....................] - ETA: 42s - loss: 0.5885
 7296/22522 [========>.....................] - ETA: 42s - loss: 0.5866
 7360/22522 [========>.....................] - ETA: 42s - loss: 0.5857
 7424/22522 [========>.....................] - ETA: 42s - loss: 0.5855
 7488/22522 [========>.....................] - ETA: 42s - loss: 0.5843
 7552/22522 [=========>....................] - ETA: 41s - loss: 0.5834
 7616/22522 [=========>....................] - ETA: 41s - loss: 0.5833
 7680/22522 [=========>....................] - ETA: 41s - loss: 0.5823
 7744/22522 [=========>....................] - ETA: 41s - loss: 0.5831
 7808/22522 [=========>....................] - ETA: 40s - loss: 0.5805
 7872/22522 [=========>....................] - ETA: 40s - loss: 0.5799
 7936/22522 [=========>....................] - ETA: 40s - loss: 0.5778
 8000/22522 [=========>....................] - ETA: 40s - loss: 0.5778
 8064/22522 [=========>....................] - ETA: 40s - loss: 0.5785
 8128/22522 [=========>....................] - ETA: 39s - loss: 0.5780
 8192/22522 [=========>....................] - ETA: 39s - loss: 0.5776
 8256/22522 [=========>....................] - ETA: 39s - loss: 0.5761
 8320/22522 [==========>...................] - ETA: 39s - loss: 0.5761
 8384/22522 [==========>...................] - ETA: 39s - loss: 0.5766
 8448/22522 [==========>...................] - ETA: 38s - loss: 0.5757
 8512/22522 [==========>...................] - ETA: 38s - loss: 0.5744
 8576/22522 [==========>...................] - ETA: 38s - loss: 0.5743
 8640/22522 [==========>...................] - ETA: 38s - loss: 0.5734
 8704/22522 [==========>...................] - ETA: 38s - loss: 0.5733
 8768/22522 [==========>...................] - ETA: 37s - loss: 0.5727
 8832/22522 [==========>...................] - ETA: 37s - loss: 0.5714
 8896/22522 [==========>...................] - ETA: 37s - loss: 0.5703
 8960/22522 [==========>...................] - ETA: 37s - loss: 0.5699
 9024/22522 [===========>..................] - ETA: 37s - loss: 0.5691
 9088/22522 [===========>..................] - ETA: 36s - loss: 0.5695
 9152/22522 [===========>..................] - ETA: 36s - loss: 0.5691
 9216/22522 [===========>..................] - ETA: 36s - loss: 0.5685
 9280/22522 [===========>..................] - ETA: 36s - loss: 0.5670
 9344/22522 [===========>..................] - ETA: 36s - loss: 0.5655
 9408/22522 [===========>..................] - ETA: 35s - loss: 0.5654
 9472/22522 [===========>..................] - ETA: 35s - loss: 0.5642
 9536/22522 [===========>..................] - ETA: 35s - loss: 0.5631
 9600/22522 [===========>..................] - ETA: 35s - loss: 0.5616
 9664/22522 [===========>..................] - ETA: 35s - loss: 0.5607
 9728/22522 [===========>..................] - ETA: 34s - loss: 0.5591
 9792/22522 [============>.................] - ETA: 34s - loss: 0.5575
 9856/22522 [============>.................] - ETA: 34s - loss: 0.5572
 9920/22522 [============>.................] - ETA: 34s - loss: 0.5564
 9984/22522 [============>.................] - ETA: 34s - loss: 0.5555
10048/22522 [============>.................] - ETA: 33s - loss: 0.5545
10112/22522 [============>.................] - ETA: 33s - loss: 0.5538
10176/22522 [============>.................] - ETA: 33s - loss: 0.5525
10240/22522 [============>.................] - ETA: 33s - loss: 0.5510
10304/22522 [============>.................] - ETA: 33s - loss: 0.5501
10368/22522 [============>.................] - ETA: 33s - loss: 0.5496
10432/22522 [============>.................] - ETA: 32s - loss: 0.5481
10496/22522 [============>.................] - ETA: 32s - loss: 0.5469
10560/22522 [=============>................] - ETA: 32s - loss: 0.5460
10624/22522 [=============>................] - ETA: 32s - loss: 0.5441
10688/22522 [=============>................] - ETA: 32s - loss: 0.5424
10752/22522 [=============>................] - ETA: 31s - loss: 0.5413
10816/22522 [=============>................] - ETA: 31s - loss: 0.5397
10880/22522 [=============>................] - ETA: 31s - loss: 0.5385
10944/22522 [=============>................] - ETA: 31s - loss: 0.5367
11008/22522 [=============>................] - ETA: 31s - loss: 0.5353
11072/22522 [=============>................] - ETA: 30s - loss: 0.5340
11136/22522 [=============>................] - ETA: 30s - loss: 0.5330
11200/22522 [=============>................] - ETA: 30s - loss: 0.5319
11264/22522 [==============>...............] - ETA: 30s - loss: 0.5308
11328/22522 [==============>...............] - ETA: 30s - loss: 0.5301
11392/22522 [==============>...............] - ETA: 30s - loss: 0.5289
11456/22522 [==============>...............] - ETA: 29s - loss: 0.5284
11520/22522 [==============>...............] - ETA: 29s - loss: 0.5275
11584/22522 [==============>...............] - ETA: 29s - loss: 0.5275
11648/22522 [==============>...............] - ETA: 29s - loss: 0.5264
11712/22522 [==============>...............] - ETA: 29s - loss: 0.5261
11776/22522 [==============>...............] - ETA: 28s - loss: 0.5246
11840/22522 [==============>...............] - ETA: 28s - loss: 0.5231
11904/22522 [==============>...............] - ETA: 28s - loss: 0.5216
11968/22522 [==============>...............] - ETA: 28s - loss: 0.5206
12032/22522 [===============>..............] - ETA: 28s - loss: 0.5200
12096/22522 [===============>..............] - ETA: 28s - loss: 0.5190
12160/22522 [===============>..............] - ETA: 27s - loss: 0.5179
12224/22522 [===============>..............] - ETA: 27s - loss: 0.5174
12288/22522 [===============>..............] - ETA: 27s - loss: 0.5162
12352/22522 [===============>..............] - ETA: 27s - loss: 0.5160
12416/22522 [===============>..............] - ETA: 27s - loss: 0.5153
12480/22522 [===============>..............] - ETA: 26s - loss: 0.5151
12544/22522 [===============>..............] - ETA: 26s - loss: 0.5144
12608/22522 [===============>..............] - ETA: 26s - loss: 0.5138
12672/22522 [===============>..............] - ETA: 26s - loss: 0.5124
12736/22522 [===============>..............] - ETA: 26s - loss: 0.5114
12800/22522 [================>.............] - ETA: 26s - loss: 0.5104
12864/22522 [================>.............] - ETA: 25s - loss: 0.5091
12928/22522 [================>.............] - ETA: 25s - loss: 0.5080
12992/22522 [================>.............] - ETA: 25s - loss: 0.5071
13056/22522 [================>.............] - ETA: 25s - loss: 0.5066
13120/22522 [================>.............] - ETA: 25s - loss: 0.5054
13184/22522 [================>.............] - ETA: 24s - loss: 0.5041
13248/22522 [================>.............] - ETA: 24s - loss: 0.5034
13312/22522 [================>.............] - ETA: 24s - loss: 0.5024
13376/22522 [================>.............] - ETA: 24s - loss: 0.5021
13440/22522 [================>.............] - ETA: 24s - loss: 0.5007
13504/22522 [================>.............] - ETA: 24s - loss: 0.4997
13568/22522 [=================>............] - ETA: 23s - loss: 0.4983
13632/22522 [=================>............] - ETA: 23s - loss: 0.4983
13696/22522 [=================>............] - ETA: 23s - loss: 0.4977
13760/22522 [=================>............] - ETA: 23s - loss: 0.4967
13824/22522 [=================>............] - ETA: 23s - loss: 0.4958
13888/22522 [=================>............] - ETA: 23s - loss: 0.4951
13952/22522 [=================>............] - ETA: 22s - loss: 0.4955
14016/22522 [=================>............] - ETA: 22s - loss: 0.4950
14080/22522 [=================>............] - ETA: 22s - loss: 0.4945
14144/22522 [=================>............] - ETA: 22s - loss: 0.4934
14208/22522 [=================>............] - ETA: 22s - loss: 0.4927
14272/22522 [==================>...........] - ETA: 22s - loss: 0.4920
14336/22522 [==================>...........] - ETA: 21s - loss: 0.4909
14400/22522 [==================>...........] - ETA: 21s - loss: 0.4903
14464/22522 [==================>...........] - ETA: 21s - loss: 0.4902
14528/22522 [==================>...........] - ETA: 21s - loss: 0.4890
14592/22522 [==================>...........] - ETA: 21s - loss: 0.4878
14656/22522 [==================>...........] - ETA: 20s - loss: 0.4861
14720/22522 [==================>...........] - ETA: 20s - loss: 0.4862
14784/22522 [==================>...........] - ETA: 20s - loss: 0.4850
14848/22522 [==================>...........] - ETA: 20s - loss: 0.4840
14912/22522 [==================>...........] - ETA: 20s - loss: 0.4827
14976/22522 [==================>...........] - ETA: 20s - loss: 0.4814
15040/22522 [===================>..........] - ETA: 19s - loss: 0.4802
15104/22522 [===================>..........] - ETA: 19s - loss: 0.4790
15168/22522 [===================>..........] - ETA: 19s - loss: 0.4776
15232/22522 [===================>..........] - ETA: 19s - loss: 0.4770
15296/22522 [===================>..........] - ETA: 19s - loss: 0.4760
15360/22522 [===================>..........] - ETA: 19s - loss: 0.4749
15424/22522 [===================>..........] - ETA: 18s - loss: 0.4736
15488/22522 [===================>..........] - ETA: 18s - loss: 0.4724
15552/22522 [===================>..........] - ETA: 18s - loss: 0.4718
15616/22522 [===================>..........] - ETA: 18s - loss: 0.4713
15680/22522 [===================>..........] - ETA: 18s - loss: 0.4704
15744/22522 [===================>..........] - ETA: 18s - loss: 0.4693
15808/22522 [====================>.........] - ETA: 17s - loss: 0.4684
15872/22522 [====================>.........] - ETA: 17s - loss: 0.4674
15936/22522 [====================>.........] - ETA: 17s - loss: 0.4672
16000/22522 [====================>.........] - ETA: 17s - loss: 0.4666
16064/22522 [====================>.........] - ETA: 17s - loss: 0.4658
16128/22522 [====================>.........] - ETA: 16s - loss: 0.4657
16192/22522 [====================>.........] - ETA: 16s - loss: 0.4650
16256/22522 [====================>.........] - ETA: 16s - loss: 0.4649
16320/22522 [====================>.........] - ETA: 16s - loss: 0.4641
16384/22522 [====================>.........] - ETA: 16s - loss: 0.4628
16448/22522 [====================>.........] - ETA: 16s - loss: 0.4626
16512/22522 [====================>.........] - ETA: 15s - loss: 0.4626
16576/22522 [=====================>........] - ETA: 15s - loss: 0.4617
16640/22522 [=====================>........] - ETA: 15s - loss: 0.4610
16704/22522 [=====================>........] - ETA: 15s - loss: 0.4612
16768/22522 [=====================>........] - ETA: 15s - loss: 0.4606
16832/22522 [=====================>........] - ETA: 15s - loss: 0.4598
16896/22522 [=====================>........] - ETA: 14s - loss: 0.4591
16960/22522 [=====================>........] - ETA: 14s - loss: 0.4581
17024/22522 [=====================>........] - ETA: 14s - loss: 0.4576
17088/22522 [=====================>........] - ETA: 14s - loss: 0.4567
17152/22522 [=====================>........] - ETA: 14s - loss: 0.4559
17216/22522 [=====================>........] - ETA: 14s - loss: 0.4548
17280/22522 [======================>.......] - ETA: 13s - loss: 0.4547
17344/22522 [======================>.......] - ETA: 13s - loss: 0.4539
17408/22522 [======================>.......] - ETA: 13s - loss: 0.4533
17472/22522 [======================>.......] - ETA: 13s - loss: 0.4521
17536/22522 [======================>.......] - ETA: 13s - loss: 0.4519
17600/22522 [======================>.......] - ETA: 13s - loss: 0.4518
17664/22522 [======================>.......] - ETA: 12s - loss: 0.4512
17728/22522 [======================>.......] - ETA: 12s - loss: 0.4502
17792/22522 [======================>.......] - ETA: 12s - loss: 0.4494
17856/22522 [======================>.......] - ETA: 12s - loss: 0.4490
17920/22522 [======================>.......] - ETA: 12s - loss: 0.4483
17984/22522 [======================>.......] - ETA: 12s - loss: 0.4474
18048/22522 [=======================>......] - ETA: 11s - loss: 0.4464
18112/22522 [=======================>......] - ETA: 11s - loss: 0.4456
18176/22522 [=======================>......] - ETA: 11s - loss: 0.4445
18240/22522 [=======================>......] - ETA: 11s - loss: 0.4441
18304/22522 [=======================>......] - ETA: 11s - loss: 0.4435
18368/22522 [=======================>......] - ETA: 11s - loss: 0.4436
18432/22522 [=======================>......] - ETA: 10s - loss: 0.4427
18496/22522 [=======================>......] - ETA: 10s - loss: 0.4421
18560/22522 [=======================>......] - ETA: 10s - loss: 0.4420
18624/22522 [=======================>......] - ETA: 10s - loss: 0.4412
18688/22522 [=======================>......] - ETA: 10s - loss: 0.4407
18752/22522 [=======================>......] - ETA: 9s - loss: 0.4401 
18816/22522 [========================>.....] - ETA: 9s - loss: 0.4394
18880/22522 [========================>.....] - ETA: 9s - loss: 0.4386
18944/22522 [========================>.....] - ETA: 9s - loss: 0.4383
19008/22522 [========================>.....] - ETA: 9s - loss: 0.4378
19072/22522 [========================>.....] - ETA: 9s - loss: 0.4371
19136/22522 [========================>.....] - ETA: 8s - loss: 0.4365
19200/22522 [========================>.....] - ETA: 8s - loss: 0.4362
19264/22522 [========================>.....] - ETA: 8s - loss: 0.4353
19328/22522 [========================>.....] - ETA: 8s - loss: 0.4351
19392/22522 [========================>.....] - ETA: 8s - loss: 0.4345
19456/22522 [========================>.....] - ETA: 8s - loss: 0.4341
19520/22522 [=========================>....] - ETA: 7s - loss: 0.4337
19584/22522 [=========================>....] - ETA: 7s - loss: 0.4335
19648/22522 [=========================>....] - ETA: 7s - loss: 0.4325
19712/22522 [=========================>....] - ETA: 7s - loss: 0.4317
19776/22522 [=========================>....] - ETA: 7s - loss: 0.4314
19840/22522 [=========================>....] - ETA: 7s - loss: 0.4307
19904/22522 [=========================>....] - ETA: 6s - loss: 0.4303
19968/22522 [=========================>....] - ETA: 6s - loss: 0.4298
20032/22522 [=========================>....] - ETA: 6s - loss: 0.4297
20096/22522 [=========================>....] - ETA: 6s - loss: 0.4290
20160/22522 [=========================>....] - ETA: 6s - loss: 0.4289
20224/22522 [=========================>....] - ETA: 6s - loss: 0.4286
20288/22522 [==========================>...] - ETA: 5s - loss: 0.4280
20352/22522 [==========================>...] - ETA: 5s - loss: 0.4271
20416/22522 [==========================>...] - ETA: 5s - loss: 0.4267
20480/22522 [==========================>...] - ETA: 5s - loss: 0.4263
20544/22522 [==========================>...] - ETA: 5s - loss: 0.4264
20608/22522 [==========================>...] - ETA: 5s - loss: 0.4260
20672/22522 [==========================>...] - ETA: 4s - loss: 0.4253
20736/22522 [==========================>...] - ETA: 4s - loss: 0.4247
20800/22522 [==========================>...] - ETA: 4s - loss: 0.4243
20864/22522 [==========================>...] - ETA: 4s - loss: 0.4241
20928/22522 [==========================>...] - ETA: 4s - loss: 0.4238
20992/22522 [==========================>...] - ETA: 4s - loss: 0.4236
21056/22522 [===========================>..] - ETA: 3s - loss: 0.4229
21120/22522 [===========================>..] - ETA: 3s - loss: 0.4224
21184/22522 [===========================>..] - ETA: 3s - loss: 0.4223
21248/22522 [===========================>..] - ETA: 3s - loss: 0.4218
21312/22522 [===========================>..] - ETA: 3s - loss: 0.4215
21376/22522 [===========================>..] - ETA: 3s - loss: 0.4210
21440/22522 [===========================>..] - ETA: 2s - loss: 0.4207
21504/22522 [===========================>..] - ETA: 2s - loss: 0.4201
21568/22522 [===========================>..] - ETA: 2s - loss: 0.4197
21632/22522 [===========================>..] - ETA: 2s - loss: 0.4192
21696/22522 [===========================>..] - ETA: 2s - loss: 0.4188
21760/22522 [===========================>..] - ETA: 2s - loss: 0.4181
21824/22522 [============================>.] - ETA: 1s - loss: 0.4174
21888/22522 [============================>.] - ETA: 1s - loss: 0.4171
21952/22522 [============================>.] - ETA: 1s - loss: 0.4162
22016/22522 [============================>.] - ETA: 1s - loss: 0.4157
22080/22522 [============================>.] - ETA: 1s - loss: 0.4154
22144/22522 [============================>.] - ETA: 1s - loss: 0.4148
22208/22522 [============================>.] - ETA: 0s - loss: 0.4143
22272/22522 [============================>.] - ETA: 0s - loss: 0.4138
22336/22522 [============================>.] - ETA: 0s - loss: 0.4136
22400/22522 [============================>.] - ETA: 0s - loss: 0.4129
22464/22522 [============================>.] - ETA: 0s - loss: 0.4121
22522/22522 [==============================] - 65s 3ms/step - loss: 0.4118 - val_loss: 0.7403
Epoch 2/2

   64/22522 [..............................] - ETA: 1:11 - loss: 0.1997
  128/22522 [..............................] - ETA: 1:10 - loss: 0.1843
  192/22522 [..............................] - ETA: 1:06 - loss: 0.2118
  256/22522 [..............................] - ETA: 1:06 - loss: 0.1941
  320/22522 [..............................] - ETA: 1:06 - loss: 0.2141
  384/22522 [..............................] - ETA: 1:06 - loss: 0.2080
  448/22522 [..............................] - ETA: 1:07 - loss: 0.2164
  512/22522 [..............................] - ETA: 1:07 - loss: 0.2012
  576/22522 [..............................] - ETA: 1:06 - loss: 0.2058
  640/22522 [..............................] - ETA: 1:06 - loss: 0.2054
  704/22522 [..............................] - ETA: 1:06 - loss: 0.2046
  768/22522 [>.............................] - ETA: 1:06 - loss: 0.2005
  832/22522 [>.............................] - ETA: 1:05 - loss: 0.1932
  896/22522 [>.............................] - ETA: 1:05 - loss: 0.1925
  960/22522 [>.............................] - ETA: 1:04 - loss: 0.1976
 1024/22522 [>.............................] - ETA: 1:04 - loss: 0.1985
 1088/22522 [>.............................] - ETA: 1:03 - loss: 0.1949
 1152/22522 [>.............................] - ETA: 1:03 - loss: 0.1950
 1216/22522 [>.............................] - ETA: 1:03 - loss: 0.1891
 1280/22522 [>.............................] - ETA: 1:02 - loss: 0.1850
 1344/22522 [>.............................] - ETA: 1:02 - loss: 0.1885
 1408/22522 [>.............................] - ETA: 1:02 - loss: 0.1830
 1472/22522 [>.............................] - ETA: 1:02 - loss: 0.1847
 1536/22522 [=>............................] - ETA: 1:02 - loss: 0.1818
 1600/22522 [=>............................] - ETA: 1:02 - loss: 0.1890
 1664/22522 [=>............................] - ETA: 1:02 - loss: 0.1907
 1728/22522 [=>............................] - ETA: 1:02 - loss: 0.1869
 1792/22522 [=>............................] - ETA: 1:01 - loss: 0.1917
 1856/22522 [=>............................] - ETA: 1:01 - loss: 0.1981
 1920/22522 [=>............................] - ETA: 1:00 - loss: 0.1983
 1984/22522 [=>............................] - ETA: 1:00 - loss: 0.1992
 2048/22522 [=>............................] - ETA: 1:00 - loss: 0.1966
 2112/22522 [=>............................] - ETA: 1:00 - loss: 0.1971
 2176/22522 [=>............................] - ETA: 59s - loss: 0.1989 
 2240/22522 [=>............................] - ETA: 59s - loss: 0.2024
 2304/22522 [==>...........................] - ETA: 59s - loss: 0.1990
 2368/22522 [==>...........................] - ETA: 58s - loss: 0.1984
 2432/22522 [==>...........................] - ETA: 58s - loss: 0.1961
 2496/22522 [==>...........................] - ETA: 58s - loss: 0.1970
 2560/22522 [==>...........................] - ETA: 57s - loss: 0.1964
 2624/22522 [==>...........................] - ETA: 57s - loss: 0.1948
 2688/22522 [==>...........................] - ETA: 57s - loss: 0.1944
 2752/22522 [==>...........................] - ETA: 57s - loss: 0.1930
 2816/22522 [==>...........................] - ETA: 56s - loss: 0.1917
 2880/22522 [==>...........................] - ETA: 56s - loss: 0.1912
 2944/22522 [==>...........................] - ETA: 56s - loss: 0.1904
 3008/22522 [===>..........................] - ETA: 56s - loss: 0.1892
 3072/22522 [===>..........................] - ETA: 56s - loss: 0.1900
 3136/22522 [===>..........................] - ETA: 56s - loss: 0.1898
 3200/22522 [===>..........................] - ETA: 56s - loss: 0.1902
 3264/22522 [===>..........................] - ETA: 56s - loss: 0.1910
 3328/22522 [===>..........................] - ETA: 56s - loss: 0.1913
 3392/22522 [===>..........................] - ETA: 56s - loss: 0.1919
 3456/22522 [===>..........................] - ETA: 56s - loss: 0.1921
 3520/22522 [===>..........................] - ETA: 56s - loss: 0.1935
 3584/22522 [===>..........................] - ETA: 56s - loss: 0.1927
 3648/22522 [===>..........................] - ETA: 55s - loss: 0.1914
 3712/22522 [===>..........................] - ETA: 55s - loss: 0.1907
 3776/22522 [====>.........................] - ETA: 55s - loss: 0.1927
 3840/22522 [====>.........................] - ETA: 55s - loss: 0.1971
 3904/22522 [====>.........................] - ETA: 55s - loss: 0.1967
 3968/22522 [====>.........................] - ETA: 54s - loss: 0.1964
 4032/22522 [====>.........................] - ETA: 54s - loss: 0.1963
 4096/22522 [====>.........................] - ETA: 54s - loss: 0.1946
 4160/22522 [====>.........................] - ETA: 54s - loss: 0.1950
 4224/22522 [====>.........................] - ETA: 54s - loss: 0.1952
 4288/22522 [====>.........................] - ETA: 53s - loss: 0.1944
 4352/22522 [====>.........................] - ETA: 53s - loss: 0.1942
 4416/22522 [====>.........................] - ETA: 53s - loss: 0.1938
 4480/22522 [====>.........................] - ETA: 53s - loss: 0.1942
 4544/22522 [=====>........................] - ETA: 53s - loss: 0.1958
 4608/22522 [=====>........................] - ETA: 52s - loss: 0.1952
 4672/22522 [=====>........................] - ETA: 52s - loss: 0.1946
 4736/22522 [=====>........................] - ETA: 52s - loss: 0.1953
 4800/22522 [=====>........................] - ETA: 52s - loss: 0.1953
 4864/22522 [=====>........................] - ETA: 51s - loss: 0.1976
 4928/22522 [=====>........................] - ETA: 51s - loss: 0.1988
 4992/22522 [=====>........................] - ETA: 51s - loss: 0.1972
 5056/22522 [=====>........................] - ETA: 51s - loss: 0.1981
 5120/22522 [=====>........................] - ETA: 50s - loss: 0.1976
 5184/22522 [=====>........................] - ETA: 50s - loss: 0.1973
 5248/22522 [=====>........................] - ETA: 50s - loss: 0.1971
 5312/22522 [======>.......................] - ETA: 50s - loss: 0.1975
 5376/22522 [======>.......................] - ETA: 50s - loss: 0.1971
 5440/22522 [======>.......................] - ETA: 50s - loss: 0.1970
 5504/22522 [======>.......................] - ETA: 49s - loss: 0.1956
 5568/22522 [======>.......................] - ETA: 49s - loss: 0.1950
 5632/22522 [======>.......................] - ETA: 49s - loss: 0.1963
 5696/22522 [======>.......................] - ETA: 49s - loss: 0.1952
 5760/22522 [======>.......................] - ETA: 48s - loss: 0.1954
